source,target,weight,distance
79,102,0.6395287577657963,0.3604712422342037
50,95,0.5505327213248652,0.4494672786751348
86,104,0.5215501057650597,0.47844989423494033
41,52,0.5204702415122404,0.4795297584877596
50,90,0.5134975174483792,0.48650248255162076
24,121,0.5022154326486621,0.4977845673513379
35,114,0.4877137461790564,0.5122862538209436
61,110,0.48288711122406014,0.5171128887759399
14,99,0.47783827487442065,0.5221617251255793
90,95,0.47664357767571097,0.523356422324289
72,94,0.47501872813112583,0.5249812718688742
55,85,0.47089611305299517,0.5291038869470048
42,91,0.4689662484951804,0.5310337515048196
94,110,0.46697601704594327,0.5330239829540567
53,57,0.4566809426331868,0.5433190573668132
57,74,0.4516784052687126,0.5483215947312874
13,38,0.4371796931518405,0.5628203068481594
80,81,0.43487787168212716,0.5651221283178729
49,86,0.4323907351101027,0.5676092648898974
55,61,0.429994852259205,0.570005147740795
50,83,0.4298293461118364,0.5701706538881637
26,116,0.429042208933402,0.5709577910665979
49,57,0.417161457261157,0.582838542738843
81,110,0.41472870989253363,0.5852712901074664
86,95,0.41359680121516446,0.5864031987848355
40,108,0.41249015474557965,0.5875098452544203
49,61,0.4108006393674355,0.5891993606325645
35,83,0.4076524425898201,0.59234755741018
91,119,0.4064243365004584,0.5935756634995416
21,57,0.39667565782971387,0.6033243421702861
61,104,0.39143945352500165,0.6085605464749984
49,66,0.3913012062735663,0.6086987937264337
97,104,0.38989579088278953,0.6101042091172104
14,17,0.3885197491700444,0.6114802508299556
94,105,0.38767817566089635,0.6123218243391036
41,50,0.3873452917325165,0.6126547082674836
17,82,0.38715848257812635,0.6128415174218736
70,106,0.38656666164839076,0.6134333383516093
48,117,0.3824942919493356,0.6175057080506644
92,108,0.3816676180162495,0.6183323819837505
72,105,0.3813273450424855,0.6186726549575146
49,104,0.38095183486270223,0.6190481651372978
18,21,0.38010550724496894,0.6198944927550311
101,119,0.3766238021823517,0.6233761978176483
38,67,0.3758964244509958,0.6241035755490042
13,110,0.3741401418512363,0.6258598581487638
22,90,0.36970991206893666,0.6302900879310633
21,81,0.362051775809776,0.637948224190224
95,114,0.36157101099774414,0.6384289890022559
19,121,0.3603132634338415,0.6396867365661585
72,106,0.36005554982447047,0.6399444501755296
45,63,0.35839957283985047,0.6416004271601495
13,94,0.35674453171556003,0.64325546828444
41,62,0.35672250550834367,0.6432774944916564
14,82,0.355122047625161,0.644877952374839
41,111,0.3541431498075551,0.6458568501924449
53,90,0.3540139005193847,0.6459860994806153
81,86,0.35308284239577875,0.6469171576042212
16,95,0.35074406353975934,0.6492559364602406
14,40,0.3492194589848782,0.6507805410151217
56,113,0.34896832619101964,0.6510316738089803
11,24,0.348875097088381,0.6511249029116191
104,114,0.34873611511023667,0.6512638848897634
38,110,0.3482428756702832,0.6517571243297168
62,80,0.34794886312413437,0.6520511368758657
83,114,0.3479481532272847,0.6520518467727153
119,125,0.34637727549944713,0.6536227245005528
32,90,0.3437171271003083,0.6562828728996917
11,121,0.3432904881137212,0.6567095118862788
12,123,0.342405670987574,0.657594329012426
62,79,0.3411347541768362,0.6588652458231639
66,103,0.33622828200055765,0.6637717179994423
62,102,0.33511007444444735,0.6648899255555527
57,93,0.3346355871398978,0.6653644128601022
40,111,0.3344566284320555,0.6655433715679445
57,66,0.3343230142094595,0.6656769857905405
32,37,0.3340576471009488,0.6659423528990511
105,110,0.33262596633861347,0.6673740336613865
12,92,0.3318866019142204,0.6681133980857796
31,90,0.3313118679012928,0.6686881320987073
101,123,0.33096015446447846,0.6690398455355215
18,49,0.3296969639209828,0.6703030360790172
40,42,0.32881231114261306,0.6711876888573869
36,82,0.3240059678884872,0.6759940321115128
61,86,0.3236520853719915,0.6763479146280085
82,91,0.32110614452153663,0.6788938554784634
12,19,0.3210725157168059,0.678927484283194
86,114,0.3205185265246834,0.6794814734753166
94,104,0.3204982705288943,0.6795017294711057
11,113,0.31920888792243074,0.6807911120775693
21,110,0.3187656787818636,0.6812343212181364
32,52,0.3184612887240141,0.6815387112759859
104,105,0.31822150922332104,0.681778490776679
65,123,0.31626148308054947,0.6837385169194505
91,108,0.3150215487923522,0.6849784512076478
111,125,0.3142474996112782,0.6857525003887218
16,50,0.3134767102880755,0.6865232897119244
35,64,0.3121889269506573,0.6878110730493427
40,82,0.311390744115951,0.688609255884049
59,113,0.3088000844421791,0.6911999155578209
89,113,0.30841330207962286,0.6915866979203771
29,62,0.3082112391202021,0.6917887608797979
119,126,0.30777218156395003,0.69222781843605
16,93,0.3075780377763779,0.6924219622236221
21,46,0.3061746197429252,0.6938253802570749
58,84,0.305311442640703,0.694688557359297
81,104,0.3038893849522013,0.6961106150477987
12,72,0.3032691930764221,0.6967308069235779
35,54,0.30268153696529587,0.6973184630347041
41,56,0.30242248680036365,0.6975775131996363
50,52,0.30157150638580593,0.698428493614194
18,57,0.30005948111882647,0.6999405188811736
93,102,0.2998574074664991,0.700142592533501
91,105,0.29963693227704224,0.7003630677229578
72,110,0.2987539803657269,0.7012460196342731
19,85,0.29875027933150333,0.7012497206684967
37,90,0.29667881804633955,0.7033211819536604
45,65,0.29470057509457426,0.7052994249054257
54,114,0.2935584322503116,0.7064415677496885
24,126,0.29347828604251214,0.7065217139574879
20,94,0.29282101587691445,0.7071789841230856
108,123,0.2922499302063222,0.7077500697936778
12,67,0.2917223926643543,0.7082776073356457
42,119,0.2914976664876447,0.7085023335123553
83,93,0.29112953999669333,0.7088704600033067
