code,domain,short,n,mean,sd,pct_disagree,pct_neutral,pct_agree,consensus,n_SD,n_D,n_N,n_A,n_SA
T01,T,AI benefits > harms,91,0.6373626373626373,0.9833783437888832,12.087912087912088,19.78021978021978,68.13186813186813,0.6604490664562704,5,6,18,50,12
T02,T,GenAI as learning aid,91,1.0,0.9888264649460884,8.791208791208792,12.087912087912088,79.12087912087912,0.692125961863378,3,5,11,42,30
T03,T,Disclose AI use,89,1.0112359550561798,0.8460386572737881,3.3707865168539324,21.34831460674157,75.28089887640449,0.7388331500602037,1,2,19,40,27
T04,T,AI education for engineers,91,1.2087912087912087,0.8368789042426032,2.197802197802198,16.483516483516482,81.31868131868131,0.7099847066350417,1,1,15,35,39
T05,T,AI accelerates science,91,1.1868131868131868,0.9056868223997854,5.4945054945054945,13.186813186813188,81.31868131868131,0.6877001818987813,1,4,12,34,40
T06,T,Automation replaces jobs,91,1.2087912087912087,0.8884003541507564,5.4945054945054945,7.6923076923076925,86.81318681318682,0.7028505809959242,2,3,7,41,38
T07,T,Robots in hazardous jobs,91,1.2087912087912087,1.038337169778718,8.791208791208792,8.791208791208792,82.41758241758241,0.6282267551468077,3,5,8,29,46
T08,T,Routine AI diagnosis,90,0.07777777777777778,1.0936772090991342,27.77777777777778,34.44444444444444,37.77777777777778,0.6170681609076085,9,16,31,27,7
T09,T,AVs make roads safer,90,0.2777777777777778,0.9601940086941205,20.0,37.77777777777778,42.22222222222222,0.659741405071609,3,15,34,30,8
T10,T,Privacy > convenience,91,1.1538461538461537,0.8809474309335241,4.395604395604396,15.384615384615385,80.21978021978022,0.7012626251816029,1,3,14,36,37
T11,T,Explain recommenders,89,1.1573033707865168,0.8777408553742124,6.741573033707865,11.235955056179774,82.02247191011236,0.7071332921053232,0,6,10,37,36
T12,T,Stricter AI regulation,90,1.0222222222222221,1.0053539572090544,8.88888888888889,15.555555555555555,75.55555555555556,0.6650578538811925,2,6,14,34,34
T13,T,Cybersecurity > new tech,89,0.9775280898876404,0.904251675669994,3.3707865168539324,31.46067415730337,65.1685393258427,0.6841475052712472,0,3,28,26,32
T14,T,Algorithms polarise,90,1.5,0.7680414314667134,2.2222222222222223,6.666666666666667,91.11111111111111,0.7302181630974318,1,1,6,26,56
T15,T,Reliance on AI decisions,90,1.1666666666666667,0.782534057125821,2.2222222222222223,16.666666666666664,81.11111111111111,0.7381403614936782,0,2,15,39,34
E01,E,Projects > exams,87,1.3218390804597702,0.9085415462408178,6.896551724137931,9.195402298850574,83.9080459770115,0.6777125000447313,0,6,8,25,48
E02,E,Exams measure knowledge,87,-0.16091954022988506,1.1193183475751618,42.5287356321839,25.287356321839084,32.18390804597701,0.5823236372456914,10,27,22,23,5
E03,E,Compulsory attendance,87,-0.9425287356321839,1.124322243792051,70.11494252873564,17.24137931034483,12.643678160919542,0.5943453839132953,35,26,15,8,3
E04,E,Online complements class,87,0.4367816091954023,1.1683933455349718,27.586206896551722,18.39080459770115,54.02298850574713,0.5466874655345804,3,21,16,29,18
E05,E,Courses outside major,85,1.0941176470588236,0.9079480975800102,7.0588235294117645,11.76470588235294,81.17647058823529,0.7071701924529961,1,5,10,38,31
E06,E,Research for every UG,86,0.872093023255814,0.9554366002656708,9.30232558139535,20.930232558139537,69.76744186046511,0.6773930244699062,1,7,18,36,24
E07,E,Publishing optional,87,1.2988505747126438,0.7488742330640975,1.1494252873563218,13.793103448275861,85.0574712643678,0.7360807299826905,0,1,12,34,40
E08,E,Honesty > grades,85,1.2588235294117647,0.804051366169958,2.3529411764705883,15.294117647058824,82.35294117647058,0.7175342721152029,0,2,13,31,39
E09,E,Collaborative > individual,86,0.7906976744186046,1.0416760145499393,10.465116279069768,27.906976744186046,61.627906976744185,0.6201221209645933,2,7,24,27,26
E10,E,Innovation > rote,87,1.528735632183908,0.6961535593058392,1.1494252873563218,4.597701149425287,94.25287356321839,0.7542414196457857,1,0,4,29,53
E11,E,Update curricula faster,87,1.6206896551724137,0.6332158475140234,1.1494252873563218,4.597701149425287,94.25287356321839,0.7872416893839449,0,1,4,22,60
E12,E,AI in teaching,87,0.9310344827586207,1.031967002450151,11.494252873563218,14.942528735632186,73.5632183908046,0.6520367017915587,2,8,13,35,29
E13,E,Research > infrastructure,85,0.3411764705882353,0.945577943407535,12.941176470588237,49.411764705882355,37.64705882352941,0.6720210454809058,3,8,42,21,11
E14,E,Industry collaboration,87,1.528735632183908,0.6961535593058392,2.2988505747126435,4.597701149425287,93.10344827586206,0.7591578950722448,0,2,4,27,54
E15,E,Lifelong learning,87,1.7126436781609196,0.5036620770293079,0.0,2.2988505747126435,97.70114942528735,0.8340166192529346,0,0,2,21,64
S01,S,Duty to society,86,1.2790697674418605,0.9029515365888585,5.813953488372093,5.813953488372093,88.37209302325581,0.6885918160535514,2,3,5,35,41
S02,S,Community service,87,0.8390804597701149,1.055148652796117,11.494252873563218,16.091954022988507,72.41379310344827,0.639029944649681,4,6,14,39,24
S03,S,Assess tech impact first,87,1.264367816091954,0.8688373695727558,5.747126436781609,6.896551724137931,87.35632183908046,0.703114699580061,1,4,6,36,40
S04,S,Platforms accountable,87,1.1494252873563218,0.9945050847226277,8.045977011494253,11.494252873563218,80.45977011494253,0.6543811168737942,2,5,10,31,39
S05,S,Control over own data,87,1.632183908045977,0.5928830334610233,0.0,5.747126436781609,94.25287356321839,0.7977921170688778,0,0,5,22,60
S06,S,Shared misinfo duty,87,1.3908045977011494,0.8120648650784581,2.2988505747126435,6.896551724137931,90.80459770114942,0.7127793683094206,2,0,6,33,46
S07,S,Equal opportunity,86,1.430232558139535,0.7902449013463908,3.488372093023256,8.13953488372093,88.37209302325581,0.7224420813325225,0,3,7,26,50
S08,S,Diverse teams better,86,0.9186046511627907,1.0083780369434256,6.976744186046512,26.744186046511626,66.27906976744185,0.6436740020312665,2,4,23,27,30
S09,S,Inclusive discourse,85,1.4705882352941178,0.5893546772311472,0.0,4.705882352941177,95.29411764705881,0.7842583967290087,0,0,4,37,44
S10,S,Evidence-based policy,84,1.25,0.7260223369393946,1.1904761904761905,13.095238095238097,85.71428571428571,0.7516416163927228,0,1,11,38,34
S11,S,Free expression w/o harm,87,1.5517241379310345,0.6053755453618963,1.1494252873563218,2.2988505747126435,96.55172413793103,0.7856194318621598,0,1,2,32,52
S12,S,Youth civic action,86,1.255813953488372,0.7849473045127509,3.488372093023256,10.465116279069768,86.04651162790698,0.7325450084717253,0,3,9,37,37
S13,S,Teach critical evaluation,87,1.264367816091954,0.7227172581523301,1.1494252873563218,12.643678160919542,86.20689655172413,0.7513075023880287,0,1,11,39,36
S14,S,Ethical leadership,84,1.2976190476190477,0.7408845560652142,1.1904761904761905,13.095238095238097,85.71428571428571,0.7400672580699076,0,1,11,34,38
