node,intensity,n_answered,distance_to_class_mean,T_mean,T_answered,technology_mean,E_mean,E_answered,education_mean,S_mean,S_answered,ethics_society_mean,V_mean,V_answered,environment_mean,degree,strength,x,y
11,0.7666666666666667,60.0,5.837590101023303,0.8,15.0,0.8,0.8,15.0,0.8,0.9333333333333333,15.0,0.9333333333333333,0.5333333333333333,15.0,0.5333333333333333,9,2.2949561355687798,0.8793780416122088,-0.07820107840403073
12,0.711864406779661,59.0,5.464703385156415,0.5333333333333333,15.0,0.5333333333333333,0.9333333333333333,15.0,0.9333333333333333,0.5714285714285714,14.0,0.5714285714285714,0.8,15.0,0.8,13,3.3654906374876856,0.5851151906512747,-0.13768207729554477
13,1.25,60.0,5.7357717511345045,0.9333333333333333,15.0,0.9333333333333333,1.0666666666666667,15.0,1.0666666666666667,1.3333333333333333,15.0,1.3333333333333333,1.6666666666666667,15.0,1.6666666666666667,11,3.0701847049217954,0.5474613210389748,0.4464295312655491
14,0.9333333333333333,60.0,4.9654930196025315,0.8,15.0,0.8,0.6,15.0,0.6,1.1333333333333333,15.0,1.1333333333333333,1.2,15.0,1.2,10,2.9049969008364043,-0.5351519498783046,-0.673383142281791
16,1.1,60.0,6.0634135871417705,1.2,15.0,1.2,0.6666666666666666,15.0,0.6666666666666666,1.2666666666666666,15.0,1.2666666666666666,1.2666666666666666,15.0,1.2666666666666666,11,2.570533551615324,-0.618876796156769,0.2035477210823626
17,0.9833333333333333,60.0,7.235532559817104,1.2666666666666666,15.0,1.2666666666666666,0.3333333333333333,15.0,0.3333333333333333,1.0,15.0,1.0,1.3333333333333333,15.0,1.3333333333333333,9,2.450773467816061,-0.4454539331394287,-0.3600017397157333
18,0.9,60.0,5.169127151399936,0.26666666666666666,15.0,0.26666666666666666,0.7333333333333333,15.0,0.7333333333333333,1.2666666666666666,15.0,1.2666666666666666,1.3333333333333333,15.0,1.3333333333333333,12,3.0493058144204808,-0.252607863040225,0.047810705433455225
19,1.1864406779661016,59.0,6.25338785669088,0.7142857142857143,14.0,0.7142857142857143,1.2,15.0,1.2,1.0,15.0,1.0,1.8,15.0,1.8,11,2.924562453005944,0.3784355353829661,0.17148134595671335
20,1.3333333333333333,60.0,5.919306883536438,1.0,15.0,1.0,0.9333333333333333,15.0,0.9333333333333333,1.5333333333333334,15.0,1.5333333333333334,1.8666666666666667,15.0,1.8666666666666667,9,1.9635559466270827,-0.19462313449455224,0.2844525610021935
21,1.5833333333333333,60.0,6.193769199934712,0.8666666666666667,15.0,0.8666666666666667,1.5333333333333334,15.0,1.5333333333333334,1.9333333333333333,15.0,1.9333333333333333,2.0,15.0,2.0,12,3.3483906750697745,-0.004390365482446664,0.090302342350599
22,0.7333333333333333,60.0,7.679683437886026,0.4,15.0,0.4,0.8,15.0,0.8,0.7333333333333333,15.0,0.7333333333333333,1.0,15.0,1.0,9,2.04807810919109,-0.4180592586042757,-0.2123320998281355
24,0.8245614035087719,57.0,6.8833074414675055,0.8571428571428571,14.0,0.8571428571428571,0.4666666666666667,15.0,0.4666666666666667,1.0,13.0,1.0,1.0,15.0,1.0,10,2.5617514113298827,0.461579979766481,0.30862233141493073
26,1.25,60.0,7.6852028401790475,1.4,15.0,1.4,0.9333333333333333,15.0,0.9333333333333333,1.4,15.0,1.4,1.2666666666666666,15.0,1.2666666666666666,9,1.9364787200451976,0.22007037347094746,0.4928919995908397
29,1.4666666666666666,60.0,7.011639034341069,1.2,15.0,1.2,0.9333333333333333,15.0,0.9333333333333333,1.7333333333333334,15.0,1.7333333333333334,2.0,15.0,2.0,13,3.0752772383273204,0.06619265993059179,0.4780542973586622
31,1.0833333333333333,60.0,6.351357661512223,0.8,15.0,0.8,1.4,15.0,1.4,1.1333333333333333,15.0,1.1333333333333333,1.0,15.0,1.0,9,1.9647695178423343,-0.11281145280974136,-0.7126953636861861
32,1.2372881355932204,59.0,4.830017954829945,1.3333333333333333,15.0,1.3333333333333333,1.0,14.0,1.0,1.3333333333333333,15.0,1.3333333333333333,1.2666666666666666,15.0,1.2666666666666666,13,3.0740821094865134,-0.5682720080957905,-0.2516010397498576
35,1.2,60.0,5.825768363114333,1.4,15.0,1.4,0.4666666666666667,15.0,0.4666666666666667,1.0,15.0,1.0,1.9333333333333333,15.0,1.9333333333333333,9,2.590822756446387,-0.17273161176546478,0.38354667623067235
36,0.9,60.0,10.055531520784852,1.2666666666666666,15.0,1.2666666666666666,0.4,15.0,0.4,0.7333333333333333,15.0,0.7333333333333333,1.2,15.0,1.2,9,1.8630539964440118,-0.6289334206071953,-0.3715297495679639
37,1.55,60.0,6.077557091490681,1.5333333333333334,15.0,1.5333333333333334,1.2,15.0,1.2,1.6,15.0,1.6,1.8666666666666667,15.0,1.8666666666666667,10,2.5078236275924497,-0.5920071808645218,-0.05913579386780381
38,1.3166666666666667,60.0,5.0469294615572595,1.1333333333333333,15.0,1.1333333333333333,1.2666666666666666,15.0,1.2666666666666666,1.2666666666666666,15.0,1.2666666666666666,1.6,15.0,1.6,11,2.989039425454242,0.5856478941708894,0.5410340984183156
40,1.4655172413793103,58.0,6.911953891244942,1.1333333333333333,15.0,1.1333333333333333,1.1333333333333333,15.0,1.1333333333333333,1.7857142857142858,14.0,1.7857142857142858,1.8571428571428572,14.0,1.8571428571428572,13,3.597662898180446,0.014771020671770645,-0.6745303644668923
41,1.7666666666666666,60.0,6.5529573347403,2.0,15.0,2.0,1.2,15.0,1.2,2.0,15.0,2.0,1.8666666666666667,15.0,1.8666666666666667,11,3.245737290302222,-0.5647566932658967,-0.1592768716268787
42,1.0701754385964912,57.0,5.821695077317493,0.8333333333333334,12.0,0.8333333333333334,1.1333333333333333,15.0,1.1333333333333333,0.9333333333333333,15.0,0.9333333333333333,1.3333333333333333,15.0,1.3333333333333333,11,2.993684596668789,0.4577004656903677,-0.6122331836004005
43,1.15,60.0,5.638988928692609,1.0,15.0,1.0,0.6,15.0,0.6,1.2,15.0,1.2,1.8,15.0,1.8,9,1.7631188989272608,-0.4122808385242583,0.3429124687164871
45,1.0166666666666666,60.0,5.468509653691495,0.4,15.0,0.4,1.2,15.0,1.2,1.2666666666666666,15.0,1.2666666666666666,1.2,15.0,1.2,9,2.1964528929955662,-0.21238212136517254,-0.15899041193232671
46,1.0333333333333334,60.0,4.243498147790254,0.8,15.0,0.8,0.9333333333333333,15.0,0.9333333333333333,1.4,15.0,1.4,1.0,15.0,1.0,9,1.9807052158961278,-0.2523117749148448,-0.3487278139700536
48,1.1,60.0,6.714964056663127,0.8,15.0,0.8,1.0,15.0,1.0,0.9333333333333333,15.0,0.9333333333333333,1.6666666666666667,15.0,1.6666666666666667,9,2.235639389764184,0.47925956567961153,-0.06643620583696591
49,1.3,60.0,5.159266024761176,0.8666666666666667,15.0,0.8666666666666667,1.0,15.0,1.0,1.6,15.0,1.6,1.7333333333333334,15.0,1.7333333333333334,12,3.7539631483452274,-0.46893205066853355,0.634278118578704
50,1.5666666666666667,60.0,5.736904774991397,1.6666666666666667,15.0,1.6666666666666667,1.1333333333333333,15.0,1.1333333333333333,1.9333333333333333,15.0,1.9333333333333333,1.5333333333333334,15.0,1.5333333333333334,10,3.431000457462247,-0.8399950211653613,-0.01985484784817374
52,1.45,60.0,5.439107110889403,1.5333333333333334,15.0,1.5333333333333334,1.3333333333333333,15.0,1.3333333333333333,1.7333333333333334,15.0,1.7333333333333334,1.2,15.0,1.2,10,2.753523493453802,-0.47606572758183274,-0.4772745332837508
53,1.35,60.0,5.6058292946286,1.2,15.0,1.2,1.1333333333333333,15.0,1.1333333333333333,1.4666666666666666,15.0,1.4666666666666666,1.6,15.0,1.6,11,2.7807400220321297,-0.7431739065931983,0.34828228521793236
54,1.55,60.0,6.453673411981684,1.4666666666666666,15.0,1.4666666666666666,1.0666666666666667,15.0,1.0666666666666667,1.6666666666666667,15.0,1.6666666666666667,2.0,15.0,2.0,9,2.1550479730219916,-0.5043411721003871,0.2671260623173392
55,1.35,60.0,4.8458434974577855,1.0666666666666667,15.0,1.0666666666666667,0.8666666666666667,15.0,0.8666666666666667,1.8,15.0,1.8,1.6666666666666667,15.0,1.6666666666666667,9,2.5789255610447923,0.12190701073647811,0.7663448819269476
56,1.0,60.0,6.016243689744925,0.9333333333333333,15.0,0.9333333333333333,0.8,15.0,0.8,1.2,15.0,1.2,1.0666666666666667,15.0,1.0666666666666667,10,2.5621326442215517,0.21017406829985735,-0.16069431992028937
57,1.1833333333333333,60.0,7.703279486405355,0.5333333333333333,15.0,0.5333333333333333,0.7333333333333333,15.0,0.7333333333333333,1.8,15.0,1.8,1.6666666666666667,15.0,1.6666666666666667,12,4.050854536716188,-0.4387151850867419,0.45976477776796576
58,0.6833333333333333,60.0,9.073064084895236,1.2,15.0,1.2,0.4,15.0,0.4,0.4666666666666667,15.0,0.4666666666666667,0.6666666666666666,15.0,0.6666666666666666,11,2.579751628521392,0.04676976947142274,0.14600530606281872
59,1.1166666666666667,60.0,6.566484926124682,0.9333333333333333,15.0,0.9333333333333333,1.1333333333333333,15.0,1.1333333333333333,1.0,15.0,1.0,1.4,15.0,1.4,9,1.9335161282765625,0.9493538415167909,-0.17279377081923616
61,1.2833333333333334,60.0,5.347558280678976,0.8666666666666667,15.0,0.8666666666666667,0.8,15.0,0.8,1.8,15.0,1.8,1.6666666666666667,15.0,1.6666666666666667,11,3.5418524332151398,-0.280894791377688,0.8149775295368744
62,1.4166666666666667,60.0,7.239524278410437,1.4666666666666666,15.0,1.4666666666666666,0.6666666666666666,15.0,0.6666666666666666,1.8,15.0,1.8,1.7333333333333334,15.0,1.7333333333333334,12,3.156898314191892,-0.3408260868431683,0.044762272549532564
63,1.1166666666666667,60.0,7.046935989294182,0.8,15.0,0.8,1.2,15.0,1.2,1.4666666666666666,15.0,1.4666666666666666,1.0,15.0,1.0,9,2.0533263395192405,0.12407014237286135,-0.4554778825525809
64,1.0833333333333333,60.0,4.954018182407103,1.1333333333333333,15.0,1.1333333333333333,0.9333333333333333,15.0,0.9333333333333333,0.8666666666666667,15.0,0.8666666666666667,1.4,15.0,1.4,9,1.9410701122424054,0.1623680595604975,0.3608437289726822
65,0.85,60.0,7.049835988995833,0.8,15.0,0.8,0.9333333333333333,15.0,0.9333333333333333,0.7333333333333333,15.0,0.7333333333333333,0.9333333333333333,15.0,0.9333333333333333,11,2.5262565600844393,-0.23031946425816863,-0.4406479700330974
66,1.3333333333333333,60.0,5.4287026370506215,1.2,15.0,1.2,1.0,15.0,1.0,1.5333333333333334,15.0,1.5333333333333334,1.6,15.0,1.6,10,2.6405778139703298,-0.3460905742864337,0.6096883361311685
67,1.4666666666666666,60.0,4.431776062186521,1.1333333333333333,15.0,1.1333333333333333,1.3333333333333333,15.0,1.3333333333333333,1.7333333333333334,15.0,1.7333333333333334,1.6666666666666667,15.0,1.6666666666666667,11,2.68039318645798,0.4342093370471206,0.5701386199314229
