node,hubness,domain_layer,degree,strength
11,7,S,9,3.2345906423098625
12,10,S,10,5.09892715216024
13,6,S,10,3.963238417084333
14,10,S,12,6.412188853127651
16,3,S,10,4.312253571556544
17,13,S,13,7.327067870213195
18,5,S,9,4.447416689818864
19,8,S,9,4.001021184274059
20,6,S,10,4.003056050804372
21,16,S,16,9.995328270123478
22,16,S,16,8.896198547688133
24,9,S,10,4.118877537946196
26,8,S,10,4.080664144415271
29,6,S,9,3.8032268201418757
31,6,S,9,3.851210031449359
32,10,S,10,4.904465962165463
35,10,S,10,5.11984011091412
36,5,S,9,3.639327852037393
37,10,S,11,5.079183858825654
38,8,S,9,4.124844322364339
40,8,S,13,7.300324843253045
41,17,S,17,11.275914144987091
42,7,S,9,4.388442631868607
43,6,S,9,3.7820589218032716
45,6,S,9,3.688186739820425
46,6,S,11,4.621000825982302
48,11,S,11,5.2563051361287325
49,8,S,10,4.3448437835607425
50,13,S,13,7.752092385931111
52,7,S,13,5.495579046644325
53,9,S,10,4.346356156005185
54,8,S,10,5.087746925934491
55,10,S,11,4.864249521475329
56,4,S,9,3.5252349371065654
57,8,S,10,5.256992992697731
58,7,S,9,3.70647742088942
59,6,S,9,3.394705157454674
61,12,S,13,5.998287667212539
62,15,S,15,8.987753186452709
63,8,S,12,5.321171423083852
64,12,S,13,5.209744813271172
65,8,S,10,4.331691964418183
66,10,S,10,5.3351528187782815
67,12,S,12,5.878141433746031
69,12,S,13,6.942782385878163
70,8,S,10,4.06633159774799
72,7,S,10,4.752197180317985
74,11,S,11,5.594870392086588
80,13,S,19,9.001372961025785
81,15,S,15,9.656584281076741
82,7,S,10,4.6926069571379685
83,8,S,9,4.109733911174159
84,8,S,9,4.012165672615444
85,9,S,10,4.7332569836501435
86,10,S,11,5.6971022867174845
89,11,S,11,5.274880887263643
90,18,S,18,11.53121641267538
91,13,S,13,7.75209238593111
92,9,S,10,4.927779249498473
93,5,S,11,3.984977457064346
94,17,S,17,11.275914144987091
95,11,S,13,6.348489211237204
97,5,S,9,3.2614763568147387
99,5,S,9,4.722667546540819
101,5,S,12,6.433309129147024
102,9,S,13,6.229318133318585
103,8,S,9,4.773804695327548
104,11,S,12,5.531023442306183
105,13,S,13,7.375754455307945
106,7,S,10,3.586115305223713
108,13,S,14,8.029733336499389
109,7,S,10,4.168478893350042
110,15,S,15,10.585404483059337
111,2,S,9,3.6448311340276645
113,8,S,10,4.323327866808565
114,8,S,9,4.355860880086395
115,8,S,11,4.134779732265687
116,5,S,9,3.9314838767474924
117,8,S,9,4.391742532822521
118,4,S,9,3.276953707923618
119,5,S,9,4.085986292967106
120,5,S,9,3.3532505800803323
121,7,S,10,4.260846947818125
125,9,S,9,4.557745410132407
126,16,S,16,10.87295456127564
