node,hubness,domain_layer,degree,strength
11,6,T,9,4.893162691838959
12,8,T,10,4.50462267647989
13,9,T,10,4.5816391783696675
14,10,T,12,5.4119584742243
16,8,T,9,3.9614178704498695
17,5,T,9,3.4225742242177235
18,11,T,12,5.361034867694277
19,7,T,10,4.90084175993132
20,12,T,12,5.844425621203854
21,8,T,9,4.1342017795146395
22,7,T,9,4.45069691444928
24,7,T,10,5.246748947781902
26,11,T,12,5.243946832924585
29,10,T,11,4.927476884522177
31,3,T,9,3.6376359931196767
32,8,T,10,4.505112845867689
35,8,T,10,4.625456828236114
36,10,T,11,5.586602446127187
37,7,T,9,4.140476958648416
38,5,T,9,3.4675950688911086
40,3,T,9,3.1241183961977255
41,12,T,12,6.0068878754747
42,14,T,14,7.672149970213478
43,0,T,9,2.84198220123241
45,8,T,10,4.675753671416753
46,6,T,9,3.657892522313054
48,7,T,9,3.589812033856004
49,14,T,14,6.6539711758176345
50,14,T,14,7.143823389618814
52,9,T,11,5.007581763200503
53,9,T,10,5.096566193323632
54,9,T,9,4.450866772331891
55,9,T,11,4.744150897696866
56,13,T,13,6.599937266405874
57,13,T,13,6.65530581004189
58,12,T,12,6.215670757869221
59,9,T,11,5.158888765290289
61,13,T,15,6.938401075510568
62,11,T,11,6.024450117267535
63,5,T,9,3.456645662124099
64,7,T,9,3.7404163749980563
65,6,T,9,4.010136510483159
66,10,T,10,5.117546518219562
67,8,T,9,3.855011407818511
69,7,T,9,3.860454960709469
70,10,T,11,5.669518785444173
72,13,T,13,6.541865809335374
74,11,T,12,5.681136681085387
80,7,T,9,4.771626196683208
81,10,T,10,4.698202130934476
82,12,T,12,5.72193616092326
83,12,T,12,5.494276538368513
84,12,T,12,6.022125660132275
85,6,T,9,3.8071753440133946
86,13,T,13,6.346312185954047
89,8,T,9,4.335379206325739
90,12,T,12,6.205771063058274
91,8,T,9,4.572232772250976
92,13,T,14,6.014984530963574
93,8,T,10,4.827612602345228
94,12,T,15,6.5931739975407835
95,12,T,12,6.701602203535859
97,10,T,10,4.78384039129569
99,7,T,9,3.844917112468467
101,9,T,13,5.097998407270094
102,13,T,13,6.131928527853165
103,9,T,9,4.084621806943309
104,3,T,10,3.6538309772197617
105,6,T,9,4.266809307041239
106,14,T,14,7.09929073977733
108,4,T,10,3.8758751546803394
109,9,T,10,4.976562509919307
110,5,T,9,4.0689321920033255
111,10,T,11,5.482753445287411
113,12,T,13,6.080890434936606
114,6,T,10,3.841999663874936
115,7,T,9,3.376786322786941
116,14,T,14,7.308812714584095
117,4,T,9,3.786471436351068
118,4,T,9,3.475954009987029
119,12,T,13,6.371523821043413
120,8,T,10,4.288641073894827
121,14,T,14,7.137913568157466
125,9,T,9,3.792945944667841
126,9,T,10,4.829698088574958
