source,target,weight,distance
14,99,1.0000000000000002,-2.220446049250313e-16
84,111,1.0,0.0
94,110,1.0,0.0
82,110,1.0,0.0
21,54,1.0,0.0
21,29,1.0,0.0
54,82,1.0,0.0
91,110,1.0,0.0
91,108,1.0,0.0
54,90,1.0,0.0
29,111,1.0,0.0
91,94,1.0,0.0
21,111,1.0,0.0
90,110,1.0,0.0
90,108,1.0,0.0
90,94,1.0,0.0
54,84,1.0,0.0
82,84,1.0,0.0
82,90,1.0,0.0
82,91,1.0,0.0
84,110,1.0,0.0
84,108,1.0,0.0
82,94,1.0,0.0
84,94,1.0,0.0
84,91,1.0,0.0
84,90,1.0,0.0
82,111,1.0,0.0
54,111,1.0,0.0
94,108,1.0,0.0
29,54,1.0,0.0
108,111,1.0,0.0
54,91,1.0,0.0
54,94,1.0,0.0
21,110,1.0,0.0
110,111,1.0,0.0
54,108,1.0,0.0
21,108,1.0,0.0
54,110,1.0,0.0
21,94,1.0,0.0
29,110,1.0,0.0
94,111,1.0,0.0
21,91,1.0,0.0
82,108,1.0,0.0
21,84,1.0,0.0
29,91,1.0,0.0
108,110,1.0,0.0
29,82,1.0,0.0
29,84,1.0,0.0
21,82,1.0,0.0
29,90,1.0,0.0
29,108,1.0,0.0
29,94,1.0,0.0
21,90,1.0,0.0
90,91,0.9999999999999998,2.220446049250313e-16
90,111,0.9999999999999998,2.220446049250313e-16
59,103,0.9379545805265291,0.062045419473470864
105,114,0.7867025379298177,0.2132974620701823
20,37,0.7476807143780887,0.2523192856219113
37,105,0.7473991879485699,0.25260081205143015
40,43,0.7444678505620416,0.25553214943795843
22,89,0.7424041725591741,0.2575958274408259
41,114,0.7237919578954732,0.27620804210452676
59,72,0.7163208156436712,0.2836791843563288
20,22,0.7122476756928747,0.2877523243071253
11,106,0.7120000068392233,0.28799999316077673
55,67,0.7112794003032373,0.28872059969676267
31,72,0.7108588718661234,0.2891411281338766
12,72,0.7089752100786701,0.29102478992132985
35,41,0.6963665286996275,0.30363347130037255
41,46,0.6933077736751745,0.3066922263248255
26,115,0.6887050887233259,0.3112949112766741
81,110,0.6875734871156356,0.3124265128843644
29,81,0.6875734871156356,0.3124265128843644
54,81,0.6875734871156356,0.3124265128843644
81,82,0.6875734871156356,0.3124265128843644
81,84,0.6875734871156356,0.3124265128843644
81,94,0.6875734871156356,0.3124265128843644
81,108,0.6875734871156356,0.3124265128843644
21,81,0.6875734871156356,0.3124265128843644
81,90,0.6875734871156355,0.3124265128843645
101,114,0.6801315022691016,0.3198684977308984
11,38,0.6659148667884893,0.3340851332115107
48,57,0.6519441282234272,0.3480558717765728
72,103,0.6512547580790363,0.3487452419209637
13,40,0.6479261086525436,0.35207389134745637
59,66,0.6425527596396283,0.3574472403603717
22,80,0.6374801839976332,0.3625198160023668
48,64,0.6366432729770173,0.3633567270229827
62,86,0.6364283791148341,0.3635716208851659
61,104,0.6354290109412278,0.36457098905877217
22,86,0.6341442708822875,0.36585572911771247
90,114,0.6299645823598582,0.3700354176401418
91,114,0.6299645823598582,0.3700354176401418
111,114,0.6299645823598582,0.3700354176401418
29,114,0.6299645823598581,0.3700354176401419
54,114,0.6299645823598581,0.3700354176401419
21,114,0.6299645823598581,0.3700354176401419
63,118,0.6212612010600547,0.37873879893994533
109,126,0.6191722856791549,0.38082771432084506
74,97,0.6187702672132679,0.3812297327867321
26,117,0.6184316796143345,0.38156832038566546
46,52,0.6165324220435691,0.38346757795643094
20,84,0.6152085212253091,0.3847914787746909
20,90,0.6152085212253091,0.3847914787746909
20,91,0.6152085212253091,0.3847914787746909
20,21,0.6152085212253091,0.3847914787746909
20,29,0.6152085212253091,0.3847914787746909
20,54,0.6152085212253091,0.3847914787746909
20,82,0.6152085212253091,0.3847914787746909
22,62,0.6133439389256556,0.38665606107434436
20,86,0.6130634552910917,0.38693654470890826
20,105,0.6119725940997512,0.38802740590024876
66,97,0.6052642210853524,0.3947357789146476
92,95,0.603236006395428,0.39676399360457204
93,121,0.6029759829050919,0.3970240170949081
62,89,0.6002297792554155,0.39977022074458446
113,121,0.5992686244084607,0.40073137559153926
101,105,0.5966854264736478,0.40331457352635225
19,92,0.5958703930743107,0.40412960692568933
18,59,0.5950795536974457,0.4049204463025543
36,65,0.5945705123786318,0.4054294876213682
31,58,0.5940373317640235,0.4059626682359765
66,103,0.5922384432884952,0.4077615567115048
26,66,0.5917329838986032,0.4082670161013968
55,102,0.5834731751887976,0.4165268248112024
18,66,0.5829219017001835,0.41707809829981646
41,101,0.5808349651209733,0.4191650348790267
24,52,0.5774018766945577,0.42259812330544233
26,97,0.5757761791679604,0.4242238208320396
59,74,0.5707350670375544,0.4292649329624456
40,109,0.56790472122334,0.43209527877666
49,62,0.5678169539190117,0.43218304608098834
14,106,0.5659419092979431,0.4340580907020569
99,106,0.5659419092979431,0.4340580907020569
94,104,0.5632231273228475,0.4367768726771525
54,104,0.5632231273228475,0.4367768726771525
104,108,0.5632231273228475,0.4367768726771525
104,110,0.5632231273228475,0.4367768726771525
29,104,0.5632231273228475,0.4367768726771525
21,104,0.5632231273228475,0.4367768726771525
84,104,0.5632231273228475,0.4367768726771525
82,104,0.5632231273228475,0.4367768726771525
24,121,0.5604119953750785,0.43958800462492154
12,67,0.5578176506617615,0.4421823493382385
11,46,0.5527573229849816,0.4472426770150184
57,104,0.5516308848754841,0.44836911512451594
29,105,0.542845622310613,0.45715437768938705
21,105,0.542845622310613,0.45715437768938705
84,105,0.542845622310613,0.45715437768938705
82,105,0.542845622310613,0.45715437768938705
54,105,0.542845622310613,0.45715437768938705
19,118,0.5388996243601011,0.4611003756398989
17,125,0.5383286842703652,0.4616713157296348
85,92,0.5363555772639346,0.46364442273606543
41,105,0.5360530114572345,0.4639469885427655
16,63,0.5352298218789644,0.4647701781210356
11,65,0.535144998781333,0.46485500121866696
22,37,0.5351241639156284,0.46487583608437155
63,89,0.5331903814132555,0.4668096185867445
12,31,0.5319342467850233,0.4680657532149767
62,104,0.5315185735008305,0.46848142649916946
16,19,0.5310868878654424,0.46891311213455755
37,89,0.5307523494744908,0.4692476505255092
38,106,0.5283805788815286,0.47161942111847144
53,101,0.5262595991831909,0.4737404008168091
13,41,0.5239551060070152,0.4760448939929848
74,103,0.5225647999729828,0.4774352000270172
50,65,0.5222110632429626,0.4777889367570374
46,101,0.5220547512909414,0.47794524870905863
26,56,0.520044415934704,0.47995558406529604
67,102,0.5149397989158011,0.4850602010841989
49,53,0.5145072687522201,0.4854927312477799
31,103,0.5139988264995692,0.4860011735004308
13,18,0.5131718311769159,0.4868281688230841
59,97,0.5120873331779405,0.48791266682205947
53,104,0.5105315900982188,0.4894684099017812
43,59,0.5098464471710485,0.49015355282895146
69,93,0.5097106498628414,0.4902893501371586
17,58,0.5081394010849378,0.4918605989150622
65,114,0.5079690292160007,0.49203097078399927
113,117,0.5068024143541835,0.4931975856458165
19,117,0.5064001258609339,0.49359987413906614
12,59,0.5061945224138633,0.4938054775861367
31,86,0.505636743992088,0.494363256007912
55,115,0.5054933411679697,0.49450665883203027
36,114,0.5050951196065849,0.49490488039341507
67,72,0.5028074141959048,0.4971925858040952
48,83,0.5022438992755888,0.49775610072441123
97,103,0.5020527955823192,0.4979472044176808
42,83,0.5020231885089124,0.49797681149108763
26,121,0.501636126196598,0.49836387380340197
43,103,0.4996256155492285,0.5003743844507715
31,59,0.4982760481016349,0.5017239518983652
18,103,0.49814685989277624,0.5018531401072237
45,92,0.4968640618901155,0.5031359381098846
46,65,0.49548358622859545,0.5045164137714045
12,103,0.49317419506172966,0.5068258049382703
109,113,0.4909638056481433,0.5090361943518567
86,95,0.4891994714902206,0.5108005285097794
56,69,0.4884344189141099,0.5115655810858901
43,109,0.4860775813719509,0.5139224186280491
22,104,0.48468617857285895,0.5153138214271411
35,61,0.4839737876798559,0.5160262123201441
18,50,0.48285660603447333,0.5171433939655267
58,86,0.48191394315337105,0.518086056846629
32,80,0.47869774507760865,0.5213022549223914
20,89,0.4781643658784927,0.5218356341215074
13,46,0.4780724065943243,0.5219275934056757
38,65,0.4769133024535664,0.5230866975464337
22,90,0.47565679715642895,0.524343202843571
22,91,0.47565679715642895,0.524343202843571
41,125,0.4749937790481078,0.5250062209518922
117,118,0.4748218258478811,0.5251781741521189
61,70,0.47392057057665526,0.5260794294233447
26,59,0.47178485948068066,0.5282151405193194
12,117,0.4714254338032613,0.5285745661967387
38,116,0.4691781205704769,0.5308218794295231
61,126,0.46885272661234734,0.5311472733876527
56,93,0.4687597015645883,0.5312402984354117
16,92,0.4686973611698723,0.5313026388301276
16,89,0.46714581338619354,0.5328541866138065
93,125,0.4651125827775394,0.5348874172224606
42,43,0.4640486534139468,0.5359513465860533
49,104,0.4623167176474632,0.5376832823525368
43,86,0.4620913390528075,0.5379086609471925
13,93,0.461215879392738,0.538784120607262
92,118,0.45974613755472876,0.5402538624452713
12,26,0.45949037646869173,0.5405096235313083
115,117,0.4585773824280021,0.5414226175719978
83,117,0.45849715736427665,0.5415028426357233
40,42,0.4573536455059919,0.5426463544940081
59,115,0.45658952351790183,0.5434104764820982
91,119,0.4559701343247423,0.5440298656752577
90,119,0.4559701343247423,0.5440298656752577
111,119,0.4559701343247423,0.5440298656752577
54,119,0.45597013432474226,0.5440298656752578
82,119,0.45597013432474226,0.5440298656752578
21,119,0.45597013432474226,0.5440298656752578
94,119,0.45597013432474226,0.5440298656752578
29,119,0.45597013432474226,0.5440298656752578
84,119,0.45597013432474226,0.5440298656752578
20,43,0.4530933393711711,0.5469066606288289
17,97,0.45308461901476915,0.5469153809852308
56,121,0.45307998534588184,0.5469200146541182
62,64,0.45260419400729723,0.5473958059927028
63,66,0.45094489094731127,0.5490551090526887
42,84,0.45092683157892854,0.5490731684210715
42,82,0.45092683157892854,0.5490731684210715
42,54,0.45092683157892854,0.5490731684210715
29,42,0.45092683157892854,0.5490731684210715
21,42,0.45092683157892854,0.5490731684210715
42,94,0.45092683157892854,0.5490731684210715
66,115,0.44893091676929914,0.5510690832307008
17,43,0.4488137544459566,0.5511862455540434
56,115,0.4487463066143943,0.5512536933856057
92,121,0.4484400718658956,0.5515599281341044
32,125,0.4483903088966534,0.5516096911033466
55,95,0.4473200432191843,0.5526799567808157
42,109,0.4455948755115366,0.5544051244884634
67,115,0.4455322435318577,0.5544677564681423
61,62,0.44371603494388656,0.5562839650561134
45,118,0.4434704539120147,0.5565295460879853
19,120,0.443202862343377,0.556797137656623
93,99,0.44262166337392456,0.5573783366260754
14,93,0.44262166337392456,0.5573783366260754
70,126,0.4423861781478247,0.5576138218521753
24,56,0.44202597572558544,0.5579740242744146
26,120,0.44183751424668405,0.558162485753316
12,116,0.4405612156793357,0.5594387843206643
102,115,0.43997253089770183,0.5600274691022982
106,115,0.4396590893243736,0.5603409106756264
19,121,0.43938546624612457,0.5606145337538755
48,116,0.43827495487208984,0.5617250451279101
97,121,0.43786756895404,0.56213243104596
24,46,0.43526219551797923,0.5647378044820208
18,97,0.4348623261389237,0.5651376738610763
58,61,0.4305867132493143,0.5694132867506857
26,113,0.4295520698803366,0.5704479301196634
70,99,0.4293978542656079,0.5706021457343922
14,70,0.4293978542656079,0.5706021457343922
61,64,0.4281396302498171,0.571860369750183
21,86,0.42770857889630304,0.5722914211036969
29,86,0.42770857889630304,0.5722914211036969
38,70,0.4275362987016256,0.5724637012983744
46,114,0.4274894160088398,0.5725105839911602
16,121,0.4262275977240977,0.5737724022759023
45,63,0.4253907641198397,0.5746092358801602
18,43,0.42466090362232445,0.5753390963776756
37,54,0.4238155952241,0.5761844047758999
37,82,0.4238155952241,0.5761844047758999
37,84,0.4238155952241,0.5761844047758999
29,37,0.4238155952241,0.5761844047758999
21,37,0.4238155952241,0.5761844047758999
66,120,0.4230818665679781,0.5769181334320219
93,97,0.42242617715943803,0.577573822840562
35,54,0.42195092145817203,0.578049078541828
29,35,0.42195092145817203,0.578049078541828
35,108,0.42195092145817203,0.578049078541828
35,84,0.42195092145817203,0.578049078541828
35,82,0.42195092145817203,0.578049078541828
35,94,0.42195092145817203,0.578049078541828
21,35,0.42195092145817203,0.578049078541828
16,18,0.42037861001895616,0.5796213899810438
38,114,0.41691095718072974,0.5830890428192703
93,116,0.416875471271085,0.5831245287289151
85,102,0.41652174782722273,0.5834782521727773
31,67,0.4156722627521304,0.5843277372478697
45,85,0.4150933956862833,0.5849066043137168
72,74,0.4137025857324587,0.5862974142675412
72,86,0.41249476980457234,0.5875052301954277
43,74,0.4114366496332351,0.5885633503667649
54,109,0.4101345035120477,0.5898654964879523
82,109,0.4101345035120477,0.5898654964879523
29,109,0.4101345035120477,0.5898654964879523
21,109,0.4101345035120477,0.5898654964879523
49,64,0.4078743569534763,0.5921256430465237
18,74,0.4071890241273165,0.5928109758726835
66,69,0.40715725586820345,0.5928427441317965
18,40,0.4067070076887264,0.5932929923112735
40,74,0.405354985720244,0.594645014279756
41,69,0.4034073341220323,0.5965926658779677
83,120,0.40272488085757335,0.5972751191424266
56,57,0.40137995943107047,0.5986200405689295
24,85,0.4008033833502033,0.5991966166497966
49,89,0.4003116576849456,0.5996883423150544
46,106,0.39973238846327114,0.6002676115367289
120,121,0.3996189100438874,0.6003810899561126
21,70,0.39797221024954743,0.6020277897504526
70,82,0.39797221024954743,0.6020277897504526
54,70,0.39797221024954743,0.6020277897504526
29,70,0.39797221024954743,0.6020277897504526
118,120,0.3976474722043445,0.6023525277956555
65,105,0.39723099082415175,0.6027690091758482
40,59,0.39613961868925746,0.6038603813107426
40,103,0.3938723223713073,0.6061276776286927
26,118,0.39356684522696694,0.6064331547730331
62,63,0.39334203533912704,0.606657964660873
19,24,0.3916003574779493,0.6083996425220507
29,101,0.390767182984991,0.609232817015009
82,101,0.390767182984991,0.609232817015009
21,101,0.390767182984991,0.609232817015009
54,101,0.390767182984991,0.609232817015009
99,116,0.39024916214000793,0.6097508378599921
14,116,0.39024916214000793,0.6097508378599921
52,56,0.3897791044644422,0.6102208955355578
36,45,0.3893817439013608,0.6106182560986392
13,113,0.38829477416828473,0.6117052258317153
14,38,0.38699384772723094,0.613006152272769
38,99,0.38699384772723094,0.613006152272769
12,74,0.38602159297195043,0.6139784070280496
20,80,0.38456683437947076,0.6154331656205292
