node,hubness,domain_layer,degree,strength
11,6,V,9,4.0983466140251155
12,11,V,11,5.281206978252037
13,7,V,9,4.125960314909221
14,8,V,9,4.223237880656812
16,8,V,9,3.902105423746097
17,8,V,9,3.692751011560688
18,12,V,12,5.474864029340068
19,10,V,10,4.500841902142088
20,9,V,16,8.980927782338046
21,26,V,26,17.460024999779716
22,7,V,10,5.636124132915732
24,10,V,11,4.604263751031363
26,12,V,13,6.434895074584466
29,24,V,24,16.77751755892991
31,7,V,9,4.465528492619052
32,8,V,10,3.7096058453130425
35,6,V,13,5.480919567964593
36,6,V,11,4.050632535860932
37,5,V,10,5.058000152431821
38,9,V,11,4.793528023103689
40,7,V,10,4.709304374086395
41,8,V,10,5.257377015901206
42,7,V,13,5.484081201400892
43,11,V,12,5.610567140568874
45,8,V,9,3.561644313979244
46,9,V,10,4.982848024292688
48,6,V,9,3.802887561190423
49,7,V,9,3.6431503843719355
50,3,V,9,3.291601451819391
52,8,V,9,3.6294887693698086
53,3,V,9,3.5860896301979848
54,23,V,23,16.349808980033604
55,9,V,11,4.706494480041572
56,12,V,12,4.898150217484825
57,5,V,9,3.6731247224676786
58,7,V,12,4.684486140907304
59,13,V,13,7.189376558009032
61,9,V,11,4.765206161072301
62,7,V,9,4.592345975993367
63,8,V,9,4.055299742954857
64,8,V,9,3.693883086607103
65,6,V,9,4.229581623981947
66,11,V,11,5.448368838281667
67,8,V,9,4.252968410859124
69,6,V,9,3.629566459498334
70,7,V,11,4.5321078511481785
72,7,V,10,5.0748648492875414
74,11,V,12,5.0979908073421
80,7,V,13,4.999449560121358
81,2,V,11,6.85563766503396
82,22,V,22,15.719844397673748
83,6,V,9,3.6072150295471586
84,18,V,18,14.161514240560349
85,6,V,9,3.5281067260932906
86,7,V,10,5.09038953057388
89,8,V,10,4.705628644269566
90,15,V,15,12.864373522181973
91,13,V,13,11.176800035066337
92,9,V,10,4.663997036273818
93,11,V,11,4.962764005347106
94,15,V,15,12.579644501800326
95,4,V,9,3.381514301639087
97,11,V,11,5.253931566823457
99,8,V,9,4.223237880656812
101,8,V,12,5.514043236214891
102,6,V,10,3.8899373649780493
103,13,V,13,6.603981305037779
104,9,V,17,8.717530988280693
105,6,V,12,6.692937387845199
106,8,V,9,4.218395347775182
108,13,V,13,11.672747535896656
109,5,V,10,4.629987406394553
110,12,V,12,11.250796614438483
111,2,V,11,10.0859347166846
113,7,V,9,3.8084809062321177
114,10,V,16,8.8537971925015
115,10,V,11,4.883712406725496
116,7,V,9,3.5845487779805882
117,10,V,11,4.800516465552692
118,10,V,11,4.761071978081086
119,3,V,12,5.108774660217687
120,6,V,9,3.5362772520357355
121,14,V,14,6.332724611686196
125,4,V,9,3.456003400881529
126,7,V,9,3.618012078972974
