centrality_metric,node_attribute,pearson_r,p_value
degree,intensity,0.2704613382724452,0.011289229394821557
degree,distance_to_class_mean,-0.2649898079852606,0.013122594128360112
strength,intensity,0.3619997495955799,0.0005704181285930915
strength,distance_to_class_mean,-0.2942785660712828,0.005662803922392285
betweenness,intensity,0.28376629554182614,0.007733197649919774
betweenness,distance_to_class_mean,-0.242901095025784,0.023394734471845053
closeness,intensity,0.4611760582787424,6.943360936194539e-06
closeness,distance_to_class_mean,-0.32964644131313586,0.001821404470057223
eigenvector,intensity,0.49266017446033383,1.2518404455596487e-06
eigenvector,distance_to_class_mean,-0.3035352459232766,0.0042632569185455
clustering,intensity,0.23242041489570706,0.03029006143728682
clustering,distance_to_class_mean,-0.11659653674139478,0.28215833624240855
