k,nodes,edges,density,components,min_degree,max_degree,mean_degree,modularity,n_communities
4,87,227,0.060678962844159315,1,4,9,5.218390804597701,0.5199497377729612,7
5,87,281,0.07511360598770382,1,5,11,6.459770114942529,0.4674476130005597,7
6,87,323,0.0863405506549051,1,6,12,7.425287356321839,0.44862614220311237,8
7,87,371,0.099171344560278,1,7,13,8.528735632183908,0.418120272298884,7
8,87,406,0.10852713178294573,1,8,14,9.333333333333334,0.39261571128739736,6
9,87,459,0.1226944667201283,1,9,16,10.551724137931034,0.3714337360182133,7
10,87,513,0.13712910986367283,1,10,16,11.793103448275861,0.3531007118764094,6
11,87,564,0.1507618283881315,1,11,18,12.96551724137931,0.3462507529624773,5
12,87,608,0.16252338946805667,1,12,20,13.977011494252874,0.32588303076756175,5
13,87,652,0.17428495054798182,1,13,20,14.988505747126437,0.3257830255537671,5
14,87,701,0.18738305265971666,1,14,22,16.114942528735632,0.3083176031061535,5
15,87,746,0.19941192194600374,1,15,23,17.149425287356323,0.30524203518636017,6
