rep,modularity,n_communities,avg_clustering,components
0,0.32715489906190404,6,0.10311559859928851,1
1,0.3341723172255886,7,0.08163115412599946,1
2,0.3166548268019101,8,0.08973740698105995,1
3,0.34972106552768184,7,0.09301717393627648,1
4,0.34022965628678825,6,0.09756859793917691,1
5,0.34508356461155815,6,0.08436714798650453,1
6,0.32658394259634155,7,0.09495443609080809,1
7,0.36204620340241117,6,0.11655591293210546,1
8,0.3380838624018412,5,0.08412012732601676,1
9,0.3333880922453983,6,0.08803867410344415,1
10,0.34927368588501667,6,0.0904059185633044,1
11,0.3621428805701319,8,0.08181669576346441,1
12,0.31962741715664694,8,0.08885416746868204,1
13,0.345566074977135,7,0.08977831812156702,1
14,0.338296423149134,7,0.08510969091006934,1
15,0.3458700472312358,7,0.09522763367562777,1
16,0.351878830152238,7,0.11332250982755696,1
17,0.3670302498770325,5,0.09792103640034498,1
18,0.34903687553642754,7,0.07608149709753982,1
19,0.3430971690387473,6,0.08752917461842427,1
20,0.3354419814153653,6,0.09418056010411806,1
21,0.3220448877957573,5,0.08842398823926544,1
22,0.32911344885346117,7,0.09326349518222257,1
23,0.34104641347109454,7,0.09618150686252146,1
24,0.31997066620753445,7,0.08464338474044822,1
25,0.3211124327585532,7,0.09344355960271143,1
26,0.3480268306676679,7,0.09634026018392293,1
27,0.34467240568231905,6,0.10024077639263283,1
28,0.3508566196289474,7,0.1026355626636059,1
29,0.35083045263527457,5,0.08670775774237259,1
30,0.3205683329061985,7,0.0994377841615792,1
31,0.33806262361874134,6,0.09025082070904031,1
32,0.3117766893254529,4,0.07795296783325545,1
33,0.32754758965908604,6,0.07721559292494128,1
34,0.3502801909007513,8,0.09613953995920538,1
35,0.3329619577858627,6,0.08937498418440326,1
36,0.3496300356026083,5,0.10052259734474943,1
37,0.35386755092207905,6,0.09318197444796798,1
38,0.35187427992165965,5,0.09038178898740924,1
39,0.31344941888691497,7,0.09558123284667802,1
40,0.3499698827371634,7,0.08038294140065762,1
41,0.34661324379122044,6,0.08420674947204183,1
42,0.32416522124644326,6,0.09006025702814814,1
43,0.3553323153403825,6,0.08674662667128663,1
44,0.33440901614707735,7,0.10250825700854757,1
45,0.3313899739630458,7,0.09053462462716294,1
46,0.33324372450667566,6,0.08650453257807211,1
47,0.3316920162055207,7,0.09976669116167168,1
48,0.3395327110140357,7,0.10504179495134507,1
49,0.31958009107062835,5,0.09159008161643871,1
50,0.3555973458496588,6,0.098871983778364,1
51,0.35471234114640393,6,0.08762181465807727,1
52,0.3319525630624968,7,0.08172097417505199,1
