source,target,rho,p_value,n,q_value,fdr_significant
V07,V08,0.6515259709690224,1.4547926907394508e-11,85,2.574983062608828e-08,True
V08,V10,0.6334183060921686,7.739421333096601e-11,85,6.849387879790492e-08,True
V05,V07,0.5908880260888155,2.6303906347919394e-09,85,1.551930474527244e-06,True
V09,V13,0.5626914383514261,2.0837531504607372e-08,85,6.610536583890311e-06,True
V10,V12,0.5654151358211258,2.098055185330056e-08,84,6.610536583890311e-06,True
E14,E15,0.555197096230678,2.392973882413384e-08,87,6.610536583890311e-06,True
V13,V14,0.5594334505093526,2.614336502103513e-08,85,6.610536583890311e-06,True
T10,S05,0.5474598884899126,4.0819504294413636e-08,87,9.031315325139017e-06,True
V08,V12,0.538548012696603,1.2628808764392387e-07,84,2.483665723663836e-05,True
E07,E10,0.525911944424929,1.6859170882588307e-07,87,2.9840732462181303e-05,True
S13,V10,0.5152574875661996,4.516565859780637e-07,85,7.267565065283389e-05,True
V05,V06,0.5158684543418053,5.111235292900897e-07,84,7.337007902950989e-05,True
S09,S14,0.5176951456469692,5.388762866574173e-07,83,7.337007902950989e-05,True
S06,S09,0.49883512168880956,1.1798973679255074e-06,85,0.0001429973671294091,True
T12,T13,0.4899759790148621,1.2644945853867058e-06,88,0.0001429973671294091,True
S11,V06,0.4998544056809194,1.2926315672714948e-06,84,0.0001429973671294091,True
V07,V09,0.49532068906207316,1.4397951504920208e-06,85,0.00014990808331593393,True
V07,V13,0.4931461467844643,1.6267303823471958e-06,85,0.00015996182093080757,True
V07,V12,0.4905984156602722,2.1637546153595186e-06,84,0.00018800177197528223,True
E07,V07,0.48760510419883396,2.211916622283384e-06,85,0.00018800177197528223,True
T02,E12,0.482390205894926,2.230529498011823e-06,87,0.00018800177197528223,True
S09,S11,0.4837457574906236,2.7311729727952686e-06,85,0.00021213551912508964,True
S07,S09,0.4861525401536584,2.7565632428683962e-06,84,0.00021213551912508964,True
V06,V07,0.4836307310043154,3.1576572680403915e-06,84,0.00022800640754785145,True
S01,S03,0.47817021015290884,3.220429485139145e-06,86,0.00022800640754785145,True
T11,S14,0.4849967683586042,3.880696824490801e-06,82,0.0002641858992057199,True
S09,V03,0.4764775900174368,4.615119877425214e-06,84,0.0002957892748697371,True
V05,V15,0.47326451118851726,4.780973593422899e-06,85,0.0002957892748697371,True
V03,V10,0.4730062593667862,4.846264955492868e-06,85,0.0002957892748697371,True
E07,E12,0.4640923158012542,5.966395944514105e-06,87,0.0003520173607263322,True
S15,V12,0.47025570365598696,7.265945253724152e-06,83,0.00041486203545457255,True
S14,V13,0.47204880799938137,7.565310459251678e-06,82,0.0004163455902011069,True
V07,V14,0.4630615129082052,8.103088774293968e-06,85,0.0004163455902011069,True
S14,V09,0.4704360880172321,8.205748180465585e-06,82,0.0004163455902011069,True
V06,V12,0.46775988624294723,8.24481554866576e-06,83,0.0004163455902011069,True
S13,S14,0.4646918985374182,8.468045902395394e-06,84,0.0004163455902011069,True
T10,T12,0.4463300395096801,1.0374882618472216e-05,90,0.0004963119522890763,True
V01,V02,0.4593297728235698,1.107955322077837e-05,84,0.0005160739263362557,True
S06,V10,0.45610814374352643,1.1498780643452044e-05,85,0.0005161741550200263,True
E11,S11,0.4509917996132394,1.1664952655819803e-05,87,0.0005161741550200263,True
V08,V13,0.454883291236207,1.2220394416455081e-05,85,0.0005275633687103779,True
S09,S13,0.4541528896474466,1.2670672625570942e-05,85,0.0005339783463633468,True
V07,V15,0.4528559760703419,1.3508711387509222e-05,85,0.0005560562594393331,True
S06,V08,0.45205743487354405,1.4050236161962638e-05,85,0.0005652026819698607,True
E07,V08,0.44734479771923735,1.768297130151791e-05,85,0.0006955302045263711,True
V03,V04,0.4435487810924457,1.892253381898933e-05,86,0.0007281061926002416,True
S14,S15,0.44855568126855494,2.110852279465876e-05,83,0.0007949379860967235,True
S01,S14,0.4480971050379555,2.1572965764456853e-05,83,0.0007955031125643465,True
V06,V15,0.4445654043574991,2.2698438892618997e-05,84,0.0008199232008150128,True
S13,V03,0.43808214078385427,2.460082997095753e-05,86,0.0008611779059696264,True
V03,V12,0.4426825978389813,2.481360068048076e-05,84,0.0008611779059696264,True
S02,S04,0.43196499361420093,2.944354797715974e-05,87,0.0010022130753763988,True
V11,V14,0.4372201104823222,3.2038051977018366e-05,84,0.0010699500377230663,True
V04,V06,0.4364974304255897,3.312884309990527e-05,84,0.0010858898571635617,True
V07,V10,0.4332527208864367,3.447777214627916e-05,85,0.0011095573945257113,True
S09,V14,0.43337462165125584,4.268348592877035e-05,83,0.0013163302187339982,True
E05,E06,0.4307626555182332,4.3095080127396004e-05,84,0.0013163302187339982,True
S02,V10,0.4283821399762712,4.313398456868469e-05,85,0.0013163302187339982,True
T12,S13,0.4237249549280872,4.7986483920677324e-05,86,0.0013951838227001755,True
E11,V09,0.4257169291997031,4.868838591584335e-05,85,0.0013951838227001755,True
V01,V13,0.4280034541319728,4.882650757639101e-05,84,0.0013951838227001755,True
S02,S15,0.42332329979994887,4.887084576689881e-05,86,0.0013951838227001755,True
V08,V14,0.42350151772169764,5.380454878724705e-05,85,0.0014945149028891473,True
V04,V08,0.42284305980559245,5.5418934124885784e-05,85,0.0014945149028891473,True
E10,E15,0.41826865801679186,5.5451253694481704e-05,87,0.0014945149028891473,True
V12,V14,0.4250557968397263,5.572767434501905e-05,84,0.0014945149028891473,True
S03,S09,0.42210047545599566,5.7293566687556935e-05,85,0.0015135763139847132,True
S09,S15,0.4234118867049065,5.9959963706627276e-05,84,0.0015544977229364778,True
S11,V07,0.42084447412363307,6.0599063775489806e-05,85,0.0015544977229364778,True
V06,V09,0.42251454887702705,6.23943443991991e-05,84,0.0015776855655226059,True
S09,V09,0.4240851288402717,6.461504367660837e-05,83,0.0016108257367267156,True
E15,V02,0.41859583021209884,6.69635625691644e-05,85,0.0016461875798252916,True
E12,E14,0.41207885705472547,7.31674766602073e-05,87,0.001764600294406379,True
V09,V15,0.41639961069280834,7.377424959665087e-05,85,0.001764600294406379,True
S07,V12,0.42054720246772503,7.543048787362093e-05,83,0.0017729388621169088,True
V05,V12,0.4179911150361837,7.612618842987856e-05,84,0.0017729388621169088,True
E15,S07,0.41211290018766444,8.061350511314301e-05,86,0.0018530636889644563,True
S11,V14,0.41297413835338986,8.569158624440577e-05,85,0.001944539841699977,True
E11,V07,0.41221894824382543,8.854855465753315e-05,85,0.001974006306726587,True
S09,V10,0.41666399411216554,8.92206240328401e-05,83,0.001974006306726587,True
S15,V10,0.41344780386397406,9.269886933712743e-05,84,0.002025641959589081,True
V03,V15,0.41031187909217787,9.616107173621323e-05,85,0.002075671914306066,True
E11,E15,0.4046992319337703,0.00010111803453041237,87,0.0021438219850858885,True
E03,E10,-0.40455752926674554,0.00010174070437695743,87,0.0021438219850858885,True
S03,S04,0.4038098193875607,0.00010508556031843782,87,0.002175366119885299,True
S14,V12,0.4174382425372945,0.0001056957549774778,81,0.002175366119885299,True
E15,V15,0.407567508999907,0.0001081848449111451,85,0.0022010020171577796,True
E07,S06,0.4021406867919183,0.00011292335303046546,87,0.0022712992598173166,True
S06,V07,0.40527203117344174,0.00011929582265306115,85,0.0023725124280440254,True
S10,S12,0.409317316450986,0.00012190135474247717,83,0.0023973933099353845,True
E10,S06,0.3963513436153727,0.00014450076714166837,87,0.0028106193169313517,True
E07,S11,0.3941230070451639,0.00015869629116028853,87,0.0030531786451490294,True
S13,V08,0.39755990671287006,0.000164831334110883,85,0.0031163655929267627,True
S07,V04,0.3971547018964132,0.00016761891779093144,85,0.0031163655929267627,True
S09,V11,0.403783813261168,0.00016870207461458628,82,0.0031163655929267627,True
S03,S13,0.39261491953948924,0.00016902321859941764,87,0.0031163655929267627,True
S10,V15,0.402263097782652,0.00017946908667645814,82,0.003274848282652896,True
V10,V13,0.39409776094978755,0.00019009426582180576,85,0.0033864961424759027,True
V04,V15,0.3940868304381654,0.0001901793954215058,85,0.0033864961424759027,True
T03,T12,0.38752524010859923,0.00019132746567660468,88,0.0033864961424759027,True
S10,S13,0.39589907857736883,0.00019329059124756386,84,0.003387369767407802,True
S09,V04,0.39541047734073903,0.0001971721576552715,84,0.0034215168534297113,True
S04,S14,0.394352824592791,0.0002058218194268816,84,0.0035369380619959265,True
E07,E14,0.3875985262585227,0.00020800841139662814,87,0.0035401431555003057,True
E10,E12,0.3863954012567695,0.00021851712455321333,87,0.0036835743853255963,True
S10,V08,0.3968801855863347,0.00022287969173857855,82,0.0037216703243140004,True
V02,V04,0.38987713815129604,0.00022571046211700057,85,0.0037337151210008503,True
E06,S10,0.3939849266435431,0.00022854703487622613,83,0.0037404042128360952,True
T11,S10,0.39605385813302324,0.00023034127638369174,82,0.0037404042128360952,True
S03,V03,0.38682970798829797,0.00023402595627522205,86,0.0037656903873376636,True
T12,S05,0.38638650433952904,0.00023826002054574277,86,0.003799281408702385,True
T06,E12,0.3835436230997993,0.0002454111176679012,87,0.0038783721274302245,True
S01,S02,0.38502442021731437,0.00025171812786013297,86,0.003942841471791463,True
E11,S06,0.38253415499613863,0.00025563965549793316,87,0.003969142019573172,True
S10,V11,0.393068867142299,0.0002592525649824471,82,0.003977764708708266,True
T11,V10,0.3906786918814873,0.0002606896645255135,83,0.003977764708708266,True
V05,V08,0.3858546061001699,0.00026528298011599426,85,0.004013255340216323,True
E01,E10,0.38093425705244927,0.00027265774911569606,87,0.0040875962781009,True
V04,V05,0.38283583025137785,0.0002748157949683656,86,0.0040875962781009,True
T11,S09,0.3887839144602622,0.0002809351953824743,83,0.004143794131891496,True
S09,V13,0.38746014871170703,0.00029592662170814033,83,0.004307583571326622,True
S07,V02,0.38492088055440277,0.00029994018022919296,84,0.004307583571326622,True
S02,S12,0.3805698687741981,0.00030077194593447964,86,0.004307583571326622,True
V12,V13,0.3847658455775051,0.0003017742162963283,84,0.004307583571326622,True
S09,S12,0.3821395099505851,0.0003074059143404107,85,0.004352867747060216,True
V04,V10,0.38185037218114687,0.00031092934900622896,85,0.004367817045563693,True
V06,V08,0.38356795602538557,0.0003162963250664375,84,0.004386417690495364,True
T06,V15,0.38134237208663996,0.00031720986688328054,85,0.004386417690495364,True
S13,S15,0.3789701044620342,0.0003204343644766985,86,0.004396657559098887,True
V01,V11,0.3826159327343486,0.0003282926810544303,84,0.00444777673187721,True
V12,V15,0.3825463447781864,0.00032918573552311557,84,0.00444777673187721,True
T01,T02,0.36788402659176983,0.00033379839693487994,91,0.0044713304190713305,True
S07,S15,0.3798773193690879,0.0003359813252748514,85,0.0044713304190713305,True
E07,S09,0.37943017482159236,0.0003419105243750446,85,0.004516280807043499,True
V09,V14,0.37907573703776387,0.0003466785250581574,85,0.0045453406618736186,True
E10,S11,0.3740778535923339,0.00035806265028568725,87,0.004660080080924018,True
S14,V07,0.38400773375066255,0.00036869202957682715,82,0.004763393374824701,True
S06,V11,0.379256900632214,0.0003740360893966884,84,0.0047974194074792646,True
E10,E11,0.3724376827664298,0.00038184313264536695,87,0.004834263588231676,True
S15,V08,0.37868581253808026,0.00038237113127256194,84,0.004834263588231676,True
V11,V13,0.37781569353610406,0.0003953985159590966,84,0.004962152338342142,True
